key,en_US,zh_CN,ja_JP
map_wanqing_grave_desc,Su Wanqing's grave located among lush green hills outside Suzhou surrounded by pines and flowers.,苏婉清的墓地，位于苏州城外的青山绿水之间，墓碑整洁，四周种满青松和鲜花。,蘇婉清の墓、蘇州城外の美しい自然の中にある。
# Regions
region_江南,Jiangnan,江南,江南
region_西域,Western Regions,西域,西域
region_京城,Capital,京城,京城
# Climate
climate_温和湿润,Temperate and Humid,温和湿润,温暖多湿
climate_潮湿多雨,Damp and Rainy,潮湿多雨,湿潤多雨
climate_暴雨,Rainstorm,暴雨,豪雨
climate_阴凉,Cool,阴凉,涼しい
climate_萧瑟,Bleak,萧瑟,寂寥
climate_温和,Temperate,温和,温暖
climate_干燥,Dry,干燥,乾燥
climate_炎热干燥,Hot and Dry,炎热干燥,暑く乾燥
climate_战火,Warzone,战火,戦火
climate_庄严,Solemn,庄严,荘厳
climate_决战,Decisive Battle,决战,決戦
climate_繁荣,Prosperous,繁荣,繁栄
climate_宁静,Peaceful,宁静,平穏
climate_夜间,Night,夜间,夜
# Settings Panel
settings_title,Settings,设置,設定
settings_save,Save Settings,保存设置,設定を保存
settings_reset,Reset Defaults,恢复默认,デフォルトに戻す
settings_back,Back,返回,戻る
# Audio
settings_audio,Audio,音频,オーディオ
settings_master_volume,Master Volume,主音量,マスター音量
settings_music_volume,Music Volume,音乐音量,音楽音量
settings_sfx_volume,SFX Volume,音效音量,SFX音量
settings_voice_volume,Voice Volume,语音音量,ボイス音量
# Graphics
settings_graphics,Graphics,画面,グラフィック
settings_brightness,Brightness,亮度,明るさ
settings_contrast,Contrast,对比度,コントラスト
settings_saturation,Saturation,饱和度,彩度
settings_resolution,Resolution,分辨率,解像度
settings_fullscreen,Fullscreen,全屏,フルスクリーン
settings_vsync,VSync,垂直同步,垂直同期
# Game
settings_game,Game,游戏,ゲーム
settings_language,Language,语言,言語
settings_auto_save,Auto Save,自动保存,自動保存
settings_text_speed,Text Speed,文本速度,テキスト速度
settings_show_fps,Show FPS,显示FPS,FPS表示
# Controls
settings_controls,Controls,控制,コントロール
settings_keybindings,Keybindings,按键绑定,キー割り当て
settings_reset_keys,Reset Keybindings,重置按键,キー割り当てをリセット
settings_sensitivity,Mouse Sensitivity,鼠标灵敏度,マウス感度
settings_invert_y,Invert Y,反转Y轴,Y軸反転
settings_press_key,Press a key...,按下按键...,キーを押してください...
settings_click_to_rebind,Click to rebind,点击修改,クリックで変更
# Notifications
settings_notifications,Notifications,通知,通知
settings_game_notifications,Game Notifications,游戏通知,ゲーム通知
settings_achievement_notifications,Achievement Notifications,成就通知,実績通知
# Keybinding Labels
keybind_move_left,Move Left,左移,左移動
keybind_move_right,Move Right,右移,右移動
keybind_move_up,Move Up,上移,上移動
keybind_move_down,Move Down,下移,下移動
keybind_sprint,Sprint,冲刺,ダッシュ
keybind_interact,Interact,交互,インタラクト
keybind_cancel,Cancel,取消,キャンセル
keybind_menu,Menu,菜单,メニュー
keybind_map,Map,地图,マップ
keybind_quick_action_1,Quick 1,快捷1,クイック1
keybind_quick_action_2,Quick 2,快捷2,クイック2
keybind_quick_action_3,Quick 3,快捷3,クイック3
keybind_quick_action_4,Quick 4,快捷4,クイック4
keybind_camera_zoom_in,Zoom In,放大,ズームイン
keybind_camera_zoom_out,Zoom Out,缩小,ズームアウト
